ChemicalName	InferenceGeneSymbol
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	AGT
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	CCL2
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	IL1B
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	IL6
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	TNF
1,2-Dimethylhydrazine	ACE2
1,2-Dimethylhydrazine	ATP11A
1,2-Dimethylhydrazine	BCL11A
1,2-Dimethylhydrazine	BSG
1,2-Dimethylhydrazine	BTK
1,2-Dimethylhydrazine	CCL2
1,2-Dimethylhydrazine	CXCL10
1,2-Dimethylhydrazine	FUT2
1,2-Dimethylhydrazine	HCK
1,2-Dimethylhydrazine	ICAM5
1,2-Dimethylhydrazine	IFNAR2
1,2-Dimethylhydrazine	IL10
1,2-Dimethylhydrazine	IL10RB
1,2-Dimethylhydrazine	IL1B
1,2-Dimethylhydrazine	IL2
1,2-Dimethylhydrazine	IL6
1,2-Dimethylhydrazine	IL7
1,2-Dimethylhydrazine	LZTFL1
1,2-Dimethylhydrazine	PLSCR1
1,2-Dimethylhydrazine	TMEM106B
1,2-Dimethylhydrazine	TMPRSS4
1,2-Dimethylhydrazine	TNF
1,2-Dimethylhydrazine	TYK2
1,2-Dimethylhydrazine	UGCG
1,2-dioleoyloxy-3-(trimethylammonium)propane	CCL2
1,2-Dipalmitoylphosphatidylcholine	CXCL8
1,2-Dipalmitoylphosphatidylcholine	IL6
1,2-dithiol-3-thione	CCL2
1,2-dithiol-3-thione	CCL3
1,2-dithiol-3-thione	CRP
1,2-dithiol-3-thione	IL1B
1,2-dithiol-3-thione	IL2RA
12-methylbenzanthracene	IL2
1,2-naphthoquinone	CXCL8
1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one	CXCL8
1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one	IL1B
1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one	IL6
1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one	TNF
1,3,5,6-tetrahydroxyxanthone	TNF
1,3,7,9-tetramethyluric acid	IL1B
1,3,7,9-tetramethyluric acid	TNF
1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine	IL10
1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine	IL6
1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole	CXCL8
1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole	IL1B
1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole	IL6
1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole	TNF
1,3-butadiene	BCL11A
1,3-butadiene	BTK
1,3-butadiene	CCR2
1,3-butadiene	IL1B
1,3-butadiene	SELE
1,3-diacetoxytetradeca-6,12-dien-8,10-diyne	IL1B
1,3-dichloro-2-propanol	IL1B
1,3-dichloro-2-propanol	IL6
1,3-dichloro-2-propanol	TNF
1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one	AGT
1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one	IL6
1,3-dihydro-1-(1-((4-(6-phenyl-1H-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one	TNF
1',3'-dihydro-1'-ethanol-3',3'-dimethyl-8-methoxy-6-nitro-spiro(2H-1-benzopyran-2,2'-(2H)-indole)	IL6
1',3'-dihydro-1'-ethanol-3',3'-dimethyl-8-methoxy-6-nitro-spiro(2H-1-benzopyran-2,2'-(2H)-indole)	TNF
1,3-dimethylthiourea	CCL2
1,3-dimethylthiourea	CXCL8
1,3-dimethylthiourea	IL1B
1,3-dimethylthiourea	IL6
1,3-dimethylthiourea	TNF
13-hydroperoxy-9,11-octadecadienoic acid	CCL2
13-hydroxy-10-oxo-11-octadecenoic acid	TNF
1-3-methylbutyryl-N4-6-aminohexanoyl-piperazine	CCL2
1-3-methylbutyryl-N4-6-aminohexanoyl-piperazine	IL6
1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol	TNF
14,15-epoxy-5,8,11-eicosatrienoic acid	ACE2
14,15-epoxy-5,8,11-eicosatrienoic acid	AGT
1-(4-(6-bromobenzo(1,3)dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta(c)quinolin-8-yl)ethanone	IL10
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	AGT
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	CCL2
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	CRP
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	F8
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	IL1B
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	IL6
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	TMPRSS2
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	TMPRSS4
1,4-bis(2-(3,5-dichloropyridyloxy))benzene	TNF
1,4-bis(2,3-epoxypropoxy)butane	IL1B
1,4-bis(2,3-epoxypropoxy)butane	TNF
14-deoxy-11,12-didehydroandrographolide	CCL2
14-deoxy-11,12-didehydroandrographolide	CXCL8
14-deoxy-11,12-didehydroandrographolide	IL6
14-deoxy-11,12-didehydroandrographolide	TNF
1-(4-ethoxyphenyl)-3-(4-nitrophenyl)-prop-2-en-1-one	IL6
1-(4-ethoxyphenyl)-3-(4-nitrophenyl)-prop-2-en-1-one	TNF
14-hydroxydocosahexaenoic acid	CCL2
14-hydroxydocosahexaenoic acid	IL6
1-(4-hydroxyiminomethylpyridinium)-4-(4-carbamoylpyridinium)butane	IL6
1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole	IL1B
1,4-naphthoquinone	CCL2
1,4-naphthoquinone	CXCL8
1,4-naphthoquinone	TNF
15-acetyldeoxynivalenol	CCL2
15-acetyldeoxynivalenol	CCL3
15-acetyldeoxynivalenol	CXCL8
15-acetyldeoxynivalenol	IL1B
15-acetyldeoxynivalenol	IL2
15-acetyldeoxynivalenol	IL6
15-acetyldeoxynivalenol	TNF
1,5-anhydrofructose	IL10
1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine	IL1B
1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine	TNF
15-deoxy-delta(12,14)-prostaglandin J2	AGT
15-deoxy-delta(12,14)-prostaglandin J2	CCL2
15-deoxy-delta(12,14)-prostaglandin J2	CXCL8
15-deoxy-delta(12,14)-prostaglandin J2	IL1B
15-deoxy-delta(12,14)-prostaglandin J2	IL6
15-deoxy-delta(12,14)-prostaglandin J2	TNF
15-deoxyprostaglandin J2	AGT
15-deoxyprostaglandin J2	CCL2
15-deoxyprostaglandin J2	CXCL10
15-deoxyprostaglandin J2	CXCL8
15-deoxyprostaglandin J2	IL1B
15-deoxyprostaglandin J2	TNF
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid	CCL2
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid	CCR2
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid	IL6
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid	TNF
15-hydroxy-5,8,11,13-eicosatetraenoic acid	IL1B
15-hydroxy-5,8,11,13-eicosatetraenoic acid	TNF
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine	AGT
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine	TNF
15-keto-5,8,11,13-eicosatetraenoic acid	IL1B
15-keto-5,8,11,13-eicosatetraenoic acid	IL6
15-keto-5,8,11,13-eicosatetraenoic acid	TNF
16,16-Dimethylprostaglandin E2	TNF
1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	AGT
1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	CXCL8
1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	IL1B
1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	IL6
1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	TNF
16-(4-fluorophenoxy)lipoxin A4	IL1B
16-(4-fluorophenoxy)lipoxin A4	SELE
16-(4-fluorophenoxy)lipoxin A4	TNF
1,6-hexamethylene diisocyanate	IL10
17-alpha-Hydroxyprogesterone	TNF
17 alpha-Hydroxyprogesterone Caproate	IL1B
17 alpha-Hydroxyprogesterone Caproate	IL6
17 alpha-Hydroxyprogesterone Caproate	TNF
17-(dimethylaminoethylamino)-17-demethoxygeldanamycin	IL6
17-(dimethylaminoethylamino)-17-demethoxygeldanamycin	TNF
1,7-dimethylxanthine	CCL3
1,7-dimethylxanthine	IL6
1,7-dimethylxanthine	TNF
17-ethynyl-5-androstene-3, 7, 17-triol	CCL2
17-ethynyl-5-androstene-3, 7, 17-triol	CCR2
17-ethynyl-5-androstene-3, 7, 17-triol	CRP
17-ethynyl-5-androstene-3, 7, 17-triol	TNF
17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid	CCL2
17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid	IL1B
17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid	IL6
17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid	TNF
17-hydroxyjolkinolide B	IL6
17-hydroxyjolkinolide B	TNF
18alpha,20beta-hydroxy-11-oxo-norolean-12-en-3beta-yl-2-O-beta-D-glucopyranurosyl-alpha-D-glucopyranosiduronate magnesium tetrahydrate	IL1B
18alpha,20beta-hydroxy-11-oxo-norolean-12-en-3beta-yl-2-O-beta-D-glucopyranurosyl-alpha-D-glucopyranosiduronate magnesium tetrahydrate	IL6
18alpha,20beta-hydroxy-11-oxo-norolean-12-en-3beta-yl-2-O-beta-D-glucopyranurosyl-alpha-D-glucopyranosiduronate magnesium tetrahydrate	TNF
18alpha-glycyrrhetinic acid	IL1B
18alpha-glycyrrhetinic acid	IL6
18alpha-glycyrrhetinic acid	TNF
18(R)-hydroxyeicosapentaenoic acid	CCL2
18(R)-hydroxyeicosapentaenoic acid	IL6
1'-acetoxychavicol acetate	IL1B
1'-acetoxychavicol acetate	TNF
1 alpha,24-dihydroxyvitamin D3	IL10
1-aminopyrene	CXCL8
1-(beta-naphthylmethyl)-6,7-dihydroxy-1,2,3,4-tetra-hydroisoquinoline	TNF
1-bromopropane	IL1B
1-bromopropane	IL6
1-bromopropane	TNF
1-Butanol	AGT
1-Butanol	BSG
1-Butanol	CXCL8
1-Butanol	IL10
1-Butanol	IL1B
1-Butanol	IL2
1-carboxyheptylimidazole	CCL2
1-carboxyheptylimidazole	TNF
1-chloro-4-(2,2-dichloro-1-(4-chlorophenyl)ethenyl)-3-(methylsulfonyl)benzene	AGT
1-dodecylsulfonyl-5N,6O-oxomethylidenenojirimycin	IL10
1-dodecylsulfonyl-5N,6O-oxomethylidenenojirimycin	IL1B
1-dodecylsulfonyl-5N,6O-oxomethylidenenojirimycin	IL6
1-dodecylsulfonyl-5N,6O-oxomethylidenenojirimycin	TNF
1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one	TNF
1-hydroxy-1-hydroperoxynonane	CXCL8
1-hydroxy-1-norresistomycin	CXCL8
1-hydroxy-1-norresistomycin	TNF
1-hydroxy-2-naphthoic acid	IL1B
1-hydroxy-2-naphthoic acid	IL6
1-hydroxy-2-oxo-3,3-bis(2-aminoethyl)-1-triazene	CCL3
1-hydroxy-2-oxo-3,3-bis(2-aminoethyl)-1-triazene	CXCL8
1-iodo-2,4-dinitrobenzene	CXCL8
1-Methyl-3-isobutylxanthine	AGT
1-Methyl-3-isobutylxanthine	ATP11A
1-Methyl-3-isobutylxanthine	CCL2
1-Methyl-3-isobutylxanthine	CXCL10
1-Methyl-3-isobutylxanthine	CXCL8
1-Methyl-3-isobutylxanthine	IFNAR2
1-Methyl-3-isobutylxanthine	IL10
1-Methyl-3-isobutylxanthine	IL10RB
1-Methyl-3-isobutylxanthine	IL1B
1-Methyl-3-isobutylxanthine	IL2
1-Methyl-3-isobutylxanthine	IL2RA
1-Methyl-3-isobutylxanthine	IL6
1-Methyl-3-isobutylxanthine	MUC1
1-Methyl-3-isobutylxanthine	TNF
1-Methyl-3-isobutylxanthine	UGCG
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	CCL2
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	CCR2
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	CSF3
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	IL1B
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	IL2
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	IL6
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	TNF
1-Methyl-4-phenylpyridinium	AGT
1-Methyl-4-phenylpyridinium	CSF3
1-Methyl-4-phenylpyridinium	FUT2
1-Methyl-4-phenylpyridinium	HCK
1-Methyl-4-phenylpyridinium	ICAM5
1-Methyl-4-phenylpyridinium	IL10
1-Methyl-4-phenylpyridinium	IL1B
1-Methyl-4-phenylpyridinium	IL6
1-Methyl-4-phenylpyridinium	TNF
1-methylanthracene	CCL2
1-methylanthracene	CXCL10
1-methylanthracene	IL6
1-methylanthracene	UGCG
1-methylfluorene	CXCL8
1-(N-(3-ammoniopropyl)-N-(n-propyl)amino)diazen-1-ium-1,2-diolate	TNF
1-naphthaleneacetic acid	IL2
1-naphthaleneacetic acid	IL2RA
1-naphthaleneacetic acid	TNF
1-naphthylacetylspermine	TNF
1-naphthylethyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline	TNF
1-Naphthylisothiocyanate	CCL2
1-Naphthylisothiocyanate	CCL3
1-Naphthylisothiocyanate	CXCL10
1-Naphthylisothiocyanate	FUT2
1-Naphthylisothiocyanate	HCK
1-Naphthylisothiocyanate	ICAM5
1-Naphthylisothiocyanate	IL10
1-Naphthylisothiocyanate	IL1B
1-Naphthylisothiocyanate	IL6
1-Naphthylisothiocyanate	PLSCR1
1-Naphthylisothiocyanate	TNF
1-Naphthylisothiocyanate	UGCG
1-nitronaphthalene	CXCL8
1-nitropropane	IL2RA
1-nitropyrene	CXCL10
1-nitropyrene	CXCL8
1-nitropyrene	IL10RB
1-nitropyrene	IL1B
1-nitropyrene	IL6
1-nitropyrene	OAS1
1-nitropyrene	SELE
1-nitropyrene	TNF
1-O-(2-(2,3-dimethylphenyl)aminobenzoyl)glucopyranuronic acid	CXCL8
1-O-(2-((2',6'-dichlorophenyl)amino)phenylacetyl)glucopyranuronic acid	CXCL8
1-Octanol	TNF
1-oleoyl-2-acetoyl-sn-glycerol	TNF
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine	CCR2
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine	CRP
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine	CXCL8
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine	IL1B
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine	SELE
1-palmitoyl-2-(5-oxovaleroyl)-sn-glycero-3-phosphorylcholine	TNF
1-phenyl-2-(1-pyrrolidinyl)-1-pentanone	CCL2
1-phenyl-2-(1-pyrrolidinyl)-1-pentanone	IL1B
1-phenyl-2-(1-pyrrolidinyl)-1-pentanone	IL6
1-phenyl-2-(1-pyrrolidinyl)-1-pentanone	TNF
1-phenyl-6,7-dihydroxy-isochroman	TNF
1-propyl-8-(4-sulfophenyl)xanthine	IL10
1-propyl-8-(4-sulfophenyl)xanthine	IL1B
1-propyl-8-(4-sulfophenyl)xanthine	TNF
1-(quinoxalin-6-ylcarbonyl)piperidine	IL1B
1-(quinoxalin-6-ylcarbonyl)piperidine	IL6
1-Sarcosine-8-Isoleucine Angiotensin II	AGT
1-trifluoromethoxyphenyl-3-(1-propionylpiperidine-4-yl)urea	IL1B
1-trifluoromethoxyphenyl-3-(1-propionylpiperidine-4-yl)urea	TNF
2019-nCoV Vaccine mRNA-1273	
20,21-epoxyresibufogenin-3-formate	IL6
2-(1',2',3',4'-tetrahydroxybutyl)thiazolidine-4-carboxylic acid	TNF
2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide	CXCL8
2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide	IL1B
2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide	IL6
2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide	TNF
2-(1-(3-dimethylaminopropyl)-5-methoxyindol-3-yl)-3-(1H-indol-3-yl)maleimide	CXCL8
2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid	ACE2
2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid	AGT
2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid	IL10
2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid	IL1B
2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid	IL6
2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid	TNF
2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine	IL6
2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine	LZTFL1
2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine	TNF
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	CCL2
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	CSF3
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	IFNAR2
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	IL10
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	IL1B
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	IL6
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester	TNF
2,2,2-trichloroethanol	IL1B
2,2,2-trichloroethanol	IL6
2,2,2-trichloroethanol	TNF
2,2',3,3',4,4',5-heptachlorobiphenyl	CXCL8
2,2',3',4,4',5-hexachlorobiphenyl	CCL2
2,2',3',4,4',5-hexachlorobiphenyl	CCL3
2,2',3',4,4',5-hexachlorobiphenyl	CCR2
2,2',3',4,4',5-hexachlorobiphenyl	IL2
2,2',3',4,4',5-hexachlorobiphenyl	IL2RA
2,2',3',4,4',5-hexachlorobiphenyl	IL7
2,2',3',4,4',5-hexachlorobiphenyl	TMPRSS2
2,2',3',4,4',5-hexachlorobiphenyl	TNF
(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide	
(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide	UGCG
2,2',4,4',5-brominated diphenyl ether	AGT
2,2',4,4',5-brominated diphenyl ether	BCL11A
2,2',4,4',5-brominated diphenyl ether	CXCL8
2-(2-(4-(4-nitrobenzyloxy)phenyl)ethyl)isothiourea methanesulfonate	IL1B
2,2',4,4'-tetrabromodiphenyl ether	ABO
2,2',4,4'-tetrabromodiphenyl ether	ACE2
2,2',4,4'-tetrabromodiphenyl ether	AGT
2,2',4,4'-tetrabromodiphenyl ether	BTK
2,2',4,4'-tetrabromodiphenyl ether	CCL2
2,2',4,4'-tetrabromodiphenyl ether	CCL3
2,2',4,4'-tetrabromodiphenyl ether	CCR2
2,2',4,4'-tetrabromodiphenyl ether	CRP
2,2',4,4'-tetrabromodiphenyl ether	CSF3
2,2',4,4'-tetrabromodiphenyl ether	CXCL10
2,2',4,4'-tetrabromodiphenyl ether	CXCL8
2,2',4,4'-tetrabromodiphenyl ether	F8
2,2',4,4'-tetrabromodiphenyl ether	FUT2
2,2',4,4'-tetrabromodiphenyl ether	IL1B
2,2',4,4'-tetrabromodiphenyl ether	IL2
2,2',4,4'-tetrabromodiphenyl ether	IL6
2,2',4,4'-tetrabromodiphenyl ether	OAS1
2,2',4,4'-tetrabromodiphenyl ether	PLSCR1
2,2',4,4'-tetrabromodiphenyl ether	SELE
2,2',4,4'-tetrabromodiphenyl ether	TMEM106B
2,2',4,4'-tetrabromodiphenyl ether	TNF
2,2',4,6,6'-pentachlorobiphenyl	CXCL8
2-(2-(4-heptylphenyl)ethyl)-6-hydroxy-benzoic acid	CXCL8
2-(2-(4-heptylphenyl)ethyl)-6-hydroxy-benzoic acid	IL1B
2-(2-(4-heptylphenyl)ethyl)-6-hydroxy-benzoic acid	TNF
2,2,5,7,8-pentamethyl-1-hydroxychroman	TMPRSS2
2,2,5,7,8-pentamethyl-1-hydroxychroman	UGCG
