GeneID1	GeneID2	PCC_moderate	feature_type	PCC_moderate_abs
ICAM1	NRP1	0.155673950874051	protein-protein	0.155673950874051
CFI	TF	0.203559670859591	protein-protein	0.203559670859591
PROC	SERPINA3	0.263477211356506	protein-protein	0.263477211356506
CFI	APOL1	0.268193471210727	protein-protein	0.268193471210727
MBL2	HBB	-0.131811154268569	protein-protein	0.131811154268569
SERPINE1	PROC	-0.320077461706211	protein-protein	0.320077461706211
ICAM1	APOL1	-0.653730854780209	protein-protein	0.653730854780209
SERPINA3	A1BG	0.336822215102899	protein-protein	0.336822215102899
SERPINA3	SAA1	0.379586769005394	protein-protein	0.379586769005394
ANG	A1BG	-0.260855584681999	protein-protein	0.260855584681999
PROC	ANG	0.192309560901408	protein-protein	0.192309560901408
ICAM1	APOL1	-0.653730854780209	protein-protein	0.653730854780209
SERPINA3	SAA1	0.379586769005394	protein-protein	0.379586769005394
ANG	TF	-0.329486986577105	protein-protein	0.329486986577105
CFI	TF	0.203559670859591	protein-protein	0.203559670859591
ICAM1	SERPINE1	0.222573926502497	protein-protein	0.222573926502497
MBL2	TF	-0.351248917401958	protein-protein	0.351248917401958
PROC	MBL2	-0.354832841780142	protein-protein	0.354832841780142
SERPINE1	SERPINA3	0.116556090405355	protein-protein	0.116556090405355
SERPINE1	PROC	-0.320077461706211	protein-protein	0.320077461706211
SERPINA3	APOL1	-0.376936308490132	protein-protein	0.376936308490132
ANG	MBL2	-0.242396948975694	protein-protein	0.242396948975694
HBB	SAA1	-0.222448239553908	protein-protein	0.222448239553908
PROC	SERPINA3	0.263477211356506	protein-protein	0.263477211356506
PROC	MBL2	-0.354832841780142	protein-protein	0.354832841780142
PROC	ANG	0.192309560901408	protein-protein	0.192309560901408
SERPINE1	PROC	-0.320077461706211	protein-protein	0.320077461706211
SERPINE1	CFI	-0.294438529457672	protein-protein	0.294438529457672
MBL2	TF	-0.351248917401958	protein-protein	0.351248917401958
PROC	MBL2	-0.354832841780142	protein-protein	0.354832841780142
SERPINA3	TF	-0.197472127455317	protein-protein	0.197472127455317
PROC	MBL2	-0.354832841780142	protein-protein	0.354832841780142
SERPINE1	ELANE	0.261639405987379	protein-protein	0.261639405987379
HBB	APOL1	0.1367573924783	protein-protein	0.1367573924783
HBB	APOL1	0.1367573924783	protein-protein	0.1367573924783
ELANE	SERPINA3	-0.108154151966024	protein-protein	0.108154151966024
ELANE	SERPINA3	-0.108154151966024	protein-protein	0.108154151966024
SERPINE1	ELANE	0.261639405987379	protein-protein	0.261639405987379
SERPINE1	ELANE	0.261639405987379	protein-protein	0.261639405987379
CFI	ELANE	-0.101677603941218	protein-protein	0.101677603941218
SERPINE1	SERPINA3	0.116556090405355	protein-protein	0.116556090405355
CAMP	ITGA2B	-0.264560605634181	protein-protein	0.264560605634181
MRC1	CD163	0.139292720299541	protein-protein	0.139292720299541
MRC1	SELENOP	-0.207930880167032	protein-protein	0.207930880167032
S100A8	SERPINA1	0.518934800279039	protein-protein	0.518934800279039
S100A9	CD163	0.159552034908053	protein-protein	0.159552034908053
S100A9	SERPINA1	0.507825653679056	protein-protein	0.507825653679056
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
ITGB3	ITGA2B	0.969926557728933	protein-protein	0.969926557728933
CAMP	ITGA2B	-0.264560605634181	protein-protein	0.264560605634181
CAMP	HP	-0.400000847798878	protein-protein	0.400000847798878
MRC1	CD163	0.139292720299541	protein-protein	0.139292720299541
MRC1	SELENOP	-0.207930880167032	protein-protein	0.207930880167032
F7	PON1	0.436721246012859	protein-protein	0.436721246012859
S100A8	ITGA2B	0.421385799667752	protein-protein	0.421385799667752
S100A8	HP	0.238011686666755	protein-protein	0.238011686666755
S100A9	HP	0.121861752813075	protein-protein	0.121861752813075
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
MRC1	CD163	0.139292720299541	protein-protein	0.139292720299541
PRG4	PON1	0.248452988726456	protein-protein	0.248452988726456
S100A8	HP	0.238011686666755	protein-protein	0.238011686666755
CA2	SERPINA1	0.245787556657862	protein-protein	0.245787556657862
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
GC	PON1	0.3229452387342	protein-protein	0.3229452387342
S100A8	SERPINA1	0.518934800279039	protein-protein	0.518934800279039
S100A9	SERPINA1	0.507825653679056	protein-protein	0.507825653679056
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
CA2	S100A8	0.59317328472702	protein-protein	0.59317328472702
FN1	CAMP	0.295066360818852	protein-protein	0.295066360818852
S100A9	HP	0.121861752813075	protein-protein	0.121861752813075
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
PON1	SELENOP	0.37437819088339	protein-protein	0.37437819088339
APOA1	BCHE	0.198601340377036	protein-protein	0.198601340377036
APOA1	PRG4	-0.48503652393134	protein-protein	0.48503652393134
APOA1	SERPINA1	-0.169247675898626	protein-protein	0.169247675898626
CA2	MRC1	0.190012191040366	protein-protein	0.190012191040366
FN1	SERPINA1	-0.539206951884077	protein-protein	0.539206951884077
MRC1	CD163	0.139292720299541	protein-protein	0.139292720299541
PRG4	BCHE	0.41665370329024	protein-protein	0.41665370329024
GC	HP	0.167837871493338	protein-protein	0.167837871493338
GC	PON1	0.3229452387342	protein-protein	0.3229452387342
F7	GC	0.217654950881195	protein-protein	0.217654950881195
SERPINA1	HP	0.205707318399907	protein-protein	0.205707318399907
SERPINA1	F7	-0.429143600927491	protein-protein	0.429143600927491
APOA1	HP	-0.376869482877986	protein-protein	0.376869482877986
APOA1	GC	-0.297120800858261	protein-protein	0.297120800858261
SOD1	GC	0.242740970246682	protein-protein	0.242740970246682
SOD1	APOA1	-0.459463814954856	protein-protein	0.459463814954856
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
SELENOP	BCHE	0.307348938356217	protein-protein	0.307348938356217
KLKB1	BCHE	0.464869139030247	protein-protein	0.464869139030247
KLKB1	SELENOP	0.681997631296408	protein-protein	0.681997631296408
KLKB1	PON1	0.450307432168699	protein-protein	0.450307432168699
PRG4	HP	0.222901657724107	protein-protein	0.222901657724107
GC	HP	0.167837871493338	protein-protein	0.167837871493338
GC	PRG4	0.197035388132634	protein-protein	0.197035388132634
APOA1	PRG4	-0.48503652393134	protein-protein	0.48503652393134
CA2	PRG4	0.334991183392721	protein-protein	0.334991183392721
S100A9	S100A8	0.808677174703192	protein-protein	0.808677174703192
PON1	BCHE	0.479025068587992	protein-protein	0.479025068587992
SOD1	CAMP	-0.149806453127444	protein-protein	0.149806453127444
S100A9	CST3	0.21218613935561	protein-protein	0.21218613935561
S100A9	CA2	0.489688103998611	protein-protein	0.489688103998611
PON1	HP	-0.145756590195661	protein-protein	0.145756590195661
MRC1	CD163	0.139292720299541	protein-protein	0.139292720299541
KLKB1	HP	-0.296770290313638	protein-protein	0.296770290313638
KLKB1	PON1	0.450307432168699	protein-protein	0.450307432168699
GC	HP	0.167837871493338	protein-protein	0.167837871493338
GC	SELENOP	-0.129485573058904	protein-protein	0.129485573058904
