GeneID1	GeneID2	PCC_severe	feature_type	PCC_severe_abs
unknown RT 16.698449	unknown RT 7.600111	0.779624034305088	metabolite-metabolite	0.779624034305088
2-Hydroxybutyric acid, 2TMS derivative RT7.639387	2-Hydroxybutyric acid, 2TMS derivative RT7.639387	1	metabolite-metabolite	1
unknown RT 7.826556	unknown RT 7.826556	1	metabolite-metabolite	1
Methylphenol RT8.024749	Methylphenol RT8.024749	1	metabolite-metabolite	1
L-Leucine RT8.057321	L-Leucine RT8.057321	1	metabolite-metabolite	1
L-Valine, 2TMS derivative RT8.840117	L-Leucine RT8.057321	0.797431442295509	metabolite-metabolite	0.797431442295509
unknown RT 11.638228	L-Leucine RT8.057321	0.82003936641008	metabolite-metabolite	0.82003936641008
3-Hydroxybutyric acid, 2TMS derivative RT8.103591	3-Hydroxybutyric acid, 2TMS derivative RT8.103591	1	metabolite-metabolite	1
C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS	C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS	1	metabolite-metabolite	1
3-hydroxyisovaleric acid 2TMS RT8.767878	3-hydroxyisovaleric acid 2TMS RT8.767878	1	metabolite-metabolite	1
2-Ketoisocaproic acid mo-tms RT8.802217	2-Ketoisocaproic acid mo-tms RT8.802217	1	metabolite-metabolite	1
L-Leucine RT8.057321	L-Valine, 2TMS derivative RT8.840117	0.797431442295509	metabolite-metabolite	0.797431442295509
L-Valine, 2TMS derivative RT8.840117	L-Valine, 2TMS derivative RT8.840117	1	metabolite-metabolite	1
L-Isoleucine, 2TMS derivative RT9.853387	L-Valine, 2TMS derivative RT8.840117	0.89342966993368	metabolite-metabolite	0.89342966993368
unknown RT 9.376246	unknown RT 9.376246	1	metabolite-metabolite	1
L-Serine, 2TMS derivative RT9.393601	L-Serine, 2TMS derivative RT9.393601	1	metabolite-metabolite	1
unknown RT 9.514184	unknown RT 9.514184	1	metabolite-metabolite	1
Phosphoric acid RT9.570223	Phosphoric acid RT9.570223	1	metabolite-metabolite	1
Glycerol, 3TMS derivative RT9.590666	Glycerol, 3TMS derivative RT9.590666	1	metabolite-metabolite	1
L-Valine, 2TMS derivative RT8.840117	L-Isoleucine, 2TMS derivative RT9.853387	0.89342966993368	metabolite-metabolite	0.89342966993368
L-Isoleucine, 2TMS derivative RT9.853387	L-Isoleucine, 2TMS derivative RT9.853387	1	metabolite-metabolite	1
L-Proline, 2TMS derivative RT9.926992	L-Proline, 2TMS derivative RT9.926992	1	metabolite-metabolite	1
Glycine, 3TMS derivative RT10.031162	Glycine, 3TMS derivative RT10.031162	1	metabolite-metabolite	1
2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827	2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827	1	metabolite-metabolite	1
unknown RT 10.88902	unknown RT 10.88902	1	metabolite-metabolite	1
L-Threonine, 3TMS derivative RT10.986218	L-Threonine, 3TMS derivative RT10.986218	1	metabolite-metabolite	1
unknown RT 15.972121	L-Threonine, 3TMS derivative RT10.986218	0.73709396007375	metabolite-metabolite	0.73709396007375
Sugar RT11.180625	Sugar RT11.180625	1	metabolite-metabolite	1
Sugar RT12.311732	Sugar RT11.180625	0.791390198044374	metabolite-metabolite	0.791390198044374
Sugar RT12.405521	Sugar RT11.180625	0.841078809634619	metabolite-metabolite	0.841078809634619
Creatinine, 3TMS Derivative RT12.941566	Sugar RT11.180625	0.838430528554691	metabolite-metabolite	0.838430528554691
Sugar RT14.65062	Sugar RT11.180625	0.852147335290076	metabolite-metabolite	0.852147335290076
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT11.180625	0.794408924663708	metabolite-metabolite	0.794408924663708
unknown RT 16.995233	Sugar RT11.180625	0.764176891366875	metabolite-metabolite	0.764176891366875
Pseudo uridine penta-tms RT19.994184	Sugar RT11.180625	0.789595214581648	metabolite-metabolite	0.789595214581648
unknown RT 5.349937	unknown RT 11.284935	0.855268288066499	metabolite-metabolite	0.855268288066499
unknown RT 11.284935	unknown RT 11.284935	1	metabolite-metabolite	1
unknown RT 11.546791	unknown RT 11.284935	0.665253345457447	metabolite-metabolite	0.665253345457447
Sugar RT12.311732	unknown RT 11.284935	0.861700102022686	metabolite-metabolite	0.861700102022686
Sugar RT12.405521	unknown RT 11.284935	0.825079495068158	metabolite-metabolite	0.825079495068158
unknown RT 14.104802	unknown RT 11.284935	0.793606957134699	metabolite-metabolite	0.793606957134699
Sugar RT14.65062	unknown RT 11.284935	0.824171873297515	metabolite-metabolite	0.824171873297515
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 11.284935	0.727616685001569	metabolite-metabolite	0.727616685001569
unknown RT 16.698449	unknown RT 11.284935	0.68882360913767	metabolite-metabolite	0.68882360913767
unknown RT 16.995233	unknown RT 11.284935	0.64397229474684	metabolite-metabolite	0.64397229474684
Pseudo uridine penta-tms RT19.994184	unknown RT 11.284935	0.72900893734366	metabolite-metabolite	0.72900893734366
Xylonic Acid Total	unknown RT 11.284935	0.755548497317801	metabolite-metabolite	0.755548497317801
unknown RT 5.349937	unknown RT 11.546791	0.576797873975557	metabolite-metabolite	0.576797873975557
unknown RT 11.284935	unknown RT 11.546791	0.665253345457447	metabolite-metabolite	0.665253345457447
unknown RT 11.546791	unknown RT 11.546791	1	metabolite-metabolite	1
Sugar RT12.311732	unknown RT 11.546791	0.617836484923393	metabolite-metabolite	0.617836484923393
Sugar RT12.405521	unknown RT 11.546791	0.635836848662662	metabolite-metabolite	0.635836848662662
unknown RT 14.104802	unknown RT 11.546791	0.614394745816297	metabolite-metabolite	0.614394745816297
Sugar RT14.65062	unknown RT 11.546791	0.615754647297938	metabolite-metabolite	0.615754647297938
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 11.546791	0.570349225919284	metabolite-metabolite	0.570349225919284
L-Leucine RT8.057321	unknown RT 11.638228	0.82003936641008	metabolite-metabolite	0.82003936641008
unknown RT 11.638228	unknown RT 11.638228	1	metabolite-metabolite	1
unknown RT 11.786329	unknown RT 11.786329	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	Aspartic acid, 3TMS derivative RT11.991212	1	metabolite-metabolite	1
unknown RT 12.281912	Aspartic acid, 3TMS derivative RT11.991212	0.78696117491661	metabolite-metabolite	0.78696117491661
unknown RT 12.857088	Aspartic acid, 3TMS derivative RT11.991212	0.795206035276802	metabolite-metabolite	0.795206035276802
unknown RT 13.237562	Aspartic acid, 3TMS derivative RT11.991212	0.863517720763954	metabolite-metabolite	0.863517720763954
unknown RT 13.449509	Aspartic acid, 3TMS derivative RT11.991212	0.808645647415017	metabolite-metabolite	0.808645647415017
unknown RT 14.212299	Aspartic acid, 3TMS derivative RT11.991212	0.88398153423756	metabolite-metabolite	0.88398153423756
unknown RT 14.608491	Aspartic acid, 3TMS derivative RT11.991212	0.824850309625314	metabolite-metabolite	0.824850309625314
unknown RT 17.919809	Aspartic acid, 3TMS derivative RT11.991212	0.812742865894761	metabolite-metabolite	0.812742865894761
unknown RT 12.201671	unknown RT 12.201671	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 12.281912	0.78696117491661	metabolite-metabolite	0.78696117491661
unknown RT 12.281912	unknown RT 12.281912	1	metabolite-metabolite	1
unknown RT 12.857088	unknown RT 12.281912	0.983386356739628	metabolite-metabolite	0.983386356739628
unknown RT 13.237562	unknown RT 12.281912	0.732524970205619	metabolite-metabolite	0.732524970205619
unknown RT 13.449509	unknown RT 12.281912	0.987304764724996	metabolite-metabolite	0.987304764724996
unknown RT 14.212299	unknown RT 12.281912	0.952962648866509	metabolite-metabolite	0.952962648866509
unknown RT 14.608491	unknown RT 12.281912	0.937106968223684	metabolite-metabolite	0.937106968223684
Sugar RT15.498817	unknown RT 12.281912	0.905814777492921	metabolite-metabolite	0.905814777492921
Sugar RT16.3187	unknown RT 12.281912	0.899606837354383	metabolite-metabolite	0.899606837354383
Sugar RT17.084061	unknown RT 12.281912	0.899274908350489	metabolite-metabolite	0.899274908350489
Sugar RT17.885434	unknown RT 12.281912	0.893360019715579	metabolite-metabolite	0.893360019715579
unknown RT 17.919809	unknown RT 12.281912	0.935513026485052	metabolite-metabolite	0.935513026485052
unknown RT 5.349937	Sugar RT12.311732	0.83657786017333	metabolite-metabolite	0.83657786017333
Sugar RT11.180625	Sugar RT12.311732	0.791390198044374	metabolite-metabolite	0.791390198044374
unknown RT 11.284935	Sugar RT12.311732	0.861700102022686	metabolite-metabolite	0.861700102022686
unknown RT 11.546791	Sugar RT12.311732	0.617836484923393	metabolite-metabolite	0.617836484923393
Sugar RT12.311732	Sugar RT12.311732	1	metabolite-metabolite	1
Sugar RT12.405521	Sugar RT12.311732	0.948408344164732	metabolite-metabolite	0.948408344164732
unknown RT 12.819965	Sugar RT12.311732	0.846705940555805	metabolite-metabolite	0.846705940555805
Creatinine, 3TMS Derivative RT12.941566	Sugar RT12.311732	0.734763129869629	metabolite-metabolite	0.734763129869629
unknown RT 14.104802	Sugar RT12.311732	0.936928052084773	metabolite-metabolite	0.936928052084773
Sugar RT14.65062	Sugar RT12.311732	0.942532689768352	metabolite-metabolite	0.942532689768352
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT12.311732	0.871650564807509	metabolite-metabolite	0.871650564807509
unknown RT 16.698449	Sugar RT12.311732	0.829982246278213	metabolite-metabolite	0.829982246278213
unknown RT 16.995233	Sugar RT12.311732	0.768764831726342	metabolite-metabolite	0.768764831726342
Sugar acid RT17.285215	Sugar RT12.311732	0.761445827996479	metabolite-metabolite	0.761445827996479
Pseudo uridine penta-tms RT19.994184	Sugar RT12.311732	0.823218062680268	metabolite-metabolite	0.823218062680268
Xylonic Acid Total	Sugar RT12.311732	0.912028236969048	metabolite-metabolite	0.912028236969048
unknown RT 5.349937	Sugar RT12.405521	0.877585533428528	metabolite-metabolite	0.877585533428528
Sugar RT11.180625	Sugar RT12.405521	0.841078809634619	metabolite-metabolite	0.841078809634619
unknown RT 11.284935	Sugar RT12.405521	0.825079495068158	metabolite-metabolite	0.825079495068158
unknown RT 11.546791	Sugar RT12.405521	0.635836848662662	metabolite-metabolite	0.635836848662662
Sugar RT12.311732	Sugar RT12.405521	0.948408344164732	metabolite-metabolite	0.948408344164732
Sugar RT12.405521	Sugar RT12.405521	1	metabolite-metabolite	1
unknown RT 12.819965	Sugar RT12.405521	0.811692319393862	metabolite-metabolite	0.811692319393862
Creatinine, 3TMS Derivative RT12.941566	Sugar RT12.405521	0.784290064262647	metabolite-metabolite	0.784290064262647
unknown RT 14.104802	Sugar RT12.405521	0.939502636923613	metabolite-metabolite	0.939502636923613
Sugar RT14.65062	Sugar RT12.405521	0.963934752651607	metabolite-metabolite	0.963934752651607
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT12.405521	0.886931751462827	metabolite-metabolite	0.886931751462827
unknown RT 16.698449	Sugar RT12.405521	0.859986751831218	metabolite-metabolite	0.859986751831218
unknown RT 16.995233	Sugar RT12.405521	0.772830043329325	metabolite-metabolite	0.772830043329325
Sugar acid RT17.285215	Sugar RT12.405521	0.758010247436183	metabolite-metabolite	0.758010247436183
Pseudo uridine penta-tms RT19.994184	Sugar RT12.405521	0.87749863553679	metabolite-metabolite	0.87749863553679
Xylonic Acid Total	Sugar RT12.405521	0.868462058454109	metabolite-metabolite	0.868462058454109
Mevalonic acid	Sugar RT12.405521	0.789426642772397	metabolite-metabolite	0.789426642772397
Salicylic acid	Salicylic acid	1	metabolite-metabolite	1
L-Methionine, 2TMS derivative RT12.546672	L-Methionine, 2TMS derivative RT12.546672	1	metabolite-metabolite	1
L-Lysine, N2,N6,N6-tris(trimethylsilyl)-, trimethylsilyl ester RT16.60669	L-Methionine, 2TMS derivative RT12.546672	0.753586934017415	metabolite-metabolite	0.753586934017415
Tyrosine, 3TMS derivative RT16.755616	L-Methionine, 2TMS derivative RT12.546672	0.635681660639394	metabolite-metabolite	0.635681660639394
L-Pyroglutamic acid RT12.572016	L-Pyroglutamic acid RT12.572016	1	metabolite-metabolite	1
Iminodiacetic acid RT12.666785	Iminodiacetic acid RT12.666785	1	metabolite-metabolite	1
unknown RT 18.560954	Iminodiacetic acid RT12.666785	0.716958073237256	metabolite-metabolite	0.716958073237256
Sugar RT12.311732	unknown RT 12.819965	0.846705940555805	metabolite-metabolite	0.846705940555805
Sugar RT12.405521	unknown RT 12.819965	0.811692319393862	metabolite-metabolite	0.811692319393862
unknown RT 12.819965	unknown RT 12.819965	1	metabolite-metabolite	1
Creatinine, 3TMS Derivative RT12.941566	unknown RT 12.819965	0.616540633927792	metabolite-metabolite	0.616540633927792
unknown RT 14.104802	unknown RT 12.819965	0.875279921186204	metabolite-metabolite	0.875279921186204
Sugar RT14.65062	unknown RT 12.819965	0.795605650038554	metabolite-metabolite	0.795605650038554
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 12.819965	0.733896682556395	metabolite-metabolite	0.733896682556395
unknown RT 16.698449	unknown RT 12.819965	0.631392592596376	metabolite-metabolite	0.631392592596376
unknown RT 16.995233	unknown RT 12.819965	0.590967627868341	metabolite-metabolite	0.590967627868341
Xylonic Acid Total	unknown RT 12.819965	0.779427853398651	metabolite-metabolite	0.779427853398651
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 12.857088	0.795206035276802	metabolite-metabolite	0.795206035276802
unknown RT 12.281912	unknown RT 12.857088	0.983386356739628	metabolite-metabolite	0.983386356739628
unknown RT 12.857088	unknown RT 12.857088	1	metabolite-metabolite	1
unknown RT 13.237562	unknown RT 12.857088	0.737244335877103	metabolite-metabolite	0.737244335877103
unknown RT 13.449509	unknown RT 12.857088	0.992720976218036	metabolite-metabolite	0.992720976218036
unknown RT 14.212299	unknown RT 12.857088	0.95524036713599	metabolite-metabolite	0.95524036713599
unknown RT 14.608491	unknown RT 12.857088	0.932334072025511	metabolite-metabolite	0.932334072025511
Sugar RT15.498817	unknown RT 12.857088	0.877404782120456	metabolite-metabolite	0.877404782120456
Sugar RT16.3187	unknown RT 12.857088	0.867572178991599	metabolite-metabolite	0.867572178991599
Sugar RT17.084061	unknown RT 12.857088	0.866450777636133	metabolite-metabolite	0.866450777636133
Sugar RT17.885434	unknown RT 12.857088	0.882117827666614	metabolite-metabolite	0.882117827666614
unknown RT 17.919809	unknown RT 12.857088	0.93003285747828	metabolite-metabolite	0.93003285747828
unknown RT 5.349937	Creatinine, 3TMS Derivative RT12.941566	0.647041674722574	metabolite-metabolite	0.647041674722574
Sugar RT11.180625	Creatinine, 3TMS Derivative RT12.941566	0.838430528554691	metabolite-metabolite	0.838430528554691
Sugar RT12.311732	Creatinine, 3TMS Derivative RT12.941566	0.734763129869629	metabolite-metabolite	0.734763129869629
Sugar RT12.405521	Creatinine, 3TMS Derivative RT12.941566	0.784290064262647	metabolite-metabolite	0.784290064262647
unknown RT 12.819965	Creatinine, 3TMS Derivative RT12.941566	0.616540633927792	metabolite-metabolite	0.616540633927792
Creatinine, 3TMS Derivative RT12.941566	Creatinine, 3TMS Derivative RT12.941566	1	metabolite-metabolite	1
Sugar RT14.65062	Creatinine, 3TMS Derivative RT12.941566	0.819272393447745	metabolite-metabolite	0.819272393447745
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Creatinine, 3TMS Derivative RT12.941566	0.784114602537109	metabolite-metabolite	0.784114602537109
unknown RT 16.698449	Creatinine, 3TMS Derivative RT12.941566	0.752650756763829	metabolite-metabolite	0.752650756763829
unknown RT 16.995233	Creatinine, 3TMS Derivative RT12.941566	0.651071858619593	metabolite-metabolite	0.651071858619593
Inositol RT18.082993	Creatinine, 3TMS Derivative RT12.941566	0.636405173514378	metabolite-metabolite	0.636405173514378
Pseudo uridine penta-tms RT19.994184	Creatinine, 3TMS Derivative RT12.941566	0.707319164353227	metabolite-metabolite	0.707319164353227
L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171	L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 13.237562	0.863517720763954	metabolite-metabolite	0.863517720763954
unknown RT 12.281912	unknown RT 13.237562	0.732524970205619	metabolite-metabolite	0.732524970205619
unknown RT 12.857088	unknown RT 13.237562	0.737244335877103	metabolite-metabolite	0.737244335877103
unknown RT 13.237562	unknown RT 13.237562	1	metabolite-metabolite	1
unknown RT 13.449509	unknown RT 13.237562	0.769221850186143	metabolite-metabolite	0.769221850186143
unknown RT 14.212299	unknown RT 13.237562	0.813619225853915	metabolite-metabolite	0.813619225853915
unknown RT 14.608491	unknown RT 13.237562	0.821521531507055	metabolite-metabolite	0.821521531507055
unknown RT 17.919809	unknown RT 13.237562	0.78853243944033	metabolite-metabolite	0.78853243944033
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 13.449509	0.808645647415017	metabolite-metabolite	0.808645647415017
unknown RT 12.281912	unknown RT 13.449509	0.987304764724996	metabolite-metabolite	0.987304764724996
unknown RT 12.857088	unknown RT 13.449509	0.992720976218036	metabolite-metabolite	0.992720976218036
unknown RT 13.237562	unknown RT 13.449509	0.769221850186143	metabolite-metabolite	0.769221850186143
unknown RT 13.449509	unknown RT 13.449509	1	metabolite-metabolite	1
unknown RT 14.212299	unknown RT 13.449509	0.963052900931205	metabolite-metabolite	0.963052900931205
unknown RT 14.608491	unknown RT 13.449509	0.943470210878994	metabolite-metabolite	0.943470210878994
Sugar RT15.498817	unknown RT 13.449509	0.88098536576923	metabolite-metabolite	0.88098536576923
Sugar RT16.3187	unknown RT 13.449509	0.875171686238795	metabolite-metabolite	0.875171686238795
Sugar RT17.084061	unknown RT 13.449509	0.874939637973482	metabolite-metabolite	0.874939637973482
Sugar RT17.885434	unknown RT 13.449509	0.878854007120002	metabolite-metabolite	0.878854007120002
unknown RT 17.919809	unknown RT 13.449509	0.930984244669485	metabolite-metabolite	0.930984244669485
L-Glutamic acid, 3TMS derivative RT13.628483	L-Glutamic acid, 3TMS derivative RT13.628483	1	metabolite-metabolite	1
Phenylalanine, 2TMS derivative RT13.727813	Phenylalanine, 2TMS derivative RT13.727813	1	metabolite-metabolite	1
Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	1	metabolite-metabolite	1
Sugar RT14.65062	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	0.64765915028332	metabolite-metabolite	0.64765915028332
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	0.662152165545373	metabolite-metabolite	0.662152165545373
unknown RT 5.349937	unknown RT 14.104802	0.784010750927063	metabolite-metabolite	0.784010750927063
unknown RT 11.284935	unknown RT 14.104802	0.793606957134699	metabolite-metabolite	0.793606957134699
unknown RT 11.546791	unknown RT 14.104802	0.614394745816297	metabolite-metabolite	0.614394745816297
Sugar RT12.311732	unknown RT 14.104802	0.936928052084773	metabolite-metabolite	0.936928052084773
Sugar RT12.405521	unknown RT 14.104802	0.939502636923613	metabolite-metabolite	0.939502636923613
unknown RT 12.819965	unknown RT 14.104802	0.875279921186204	metabolite-metabolite	0.875279921186204
unknown RT 14.104802	unknown RT 14.104802	1	metabolite-metabolite	1
Sugar RT14.65062	unknown RT 14.104802	0.944519150303972	metabolite-metabolite	0.944519150303972
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 14.104802	0.905959778729644	metabolite-metabolite	0.905959778729644
unknown RT 16.698449	unknown RT 14.104802	0.85058328307519	metabolite-metabolite	0.85058328307519
unknown RT 16.995233	unknown RT 14.104802	0.735873959151723	metabolite-metabolite	0.735873959151723
Pseudo uridine penta-tms RT19.994184	unknown RT 14.104802	0.849402708466938	metabolite-metabolite	0.849402708466938
Xylonic Acid Total	unknown RT 14.104802	0.892746658133243	metabolite-metabolite	0.892746658133243
unknown RT 14.193323	unknown RT 14.193323	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 14.212299	0.88398153423756	metabolite-metabolite	0.88398153423756
unknown RT 12.281912	unknown RT 14.212299	0.952962648866509	metabolite-metabolite	0.952962648866509
unknown RT 12.857088	unknown RT 14.212299	0.95524036713599	metabolite-metabolite	0.95524036713599
unknown RT 13.237562	unknown RT 14.212299	0.813619225853915	metabolite-metabolite	0.813619225853915
unknown RT 13.449509	unknown RT 14.212299	0.963052900931205	metabolite-metabolite	0.963052900931205
unknown RT 14.212299	unknown RT 14.212299	1	metabolite-metabolite	1
unknown RT 14.608491	unknown RT 14.212299	0.967457722718634	metabolite-metabolite	0.967457722718634
Sugar RT15.498817	unknown RT 14.212299	0.862937829327427	metabolite-metabolite	0.862937829327427
Sugar RT16.3187	unknown RT 14.212299	0.861346932392851	metabolite-metabolite	0.861346932392851
Sugar RT17.084061	unknown RT 14.212299	0.863320456207518	metabolite-metabolite	0.863320456207518
Sugar RT17.885434	unknown RT 14.212299	0.868956971273279	metabolite-metabolite	0.868956971273279
unknown RT 17.919809	unknown RT 14.212299	0.940628123803153	metabolite-metabolite	0.940628123803153
unknown RT 14.46665	unknown RT 14.46665	1	metabolite-metabolite	1
Sugar RT14.499155	Sugar RT14.499155	1	metabolite-metabolite	1
Indol-5-ol, 2TMS derivative RT14.572634	Indol-5-ol, 2TMS derivative RT14.572634	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 14.608491	0.824850309625314	metabolite-metabolite	0.824850309625314
unknown RT 12.281912	unknown RT 14.608491	0.937106968223684	metabolite-metabolite	0.937106968223684
unknown RT 12.857088	unknown RT 14.608491	0.932334072025511	metabolite-metabolite	0.932334072025511
unknown RT 13.237562	unknown RT 14.608491	0.821521531507055	metabolite-metabolite	0.821521531507055
unknown RT 13.449509	unknown RT 14.608491	0.943470210878994	metabolite-metabolite	0.943470210878994
unknown RT 14.212299	unknown RT 14.608491	0.967457722718634	metabolite-metabolite	0.967457722718634
unknown RT 14.608491	unknown RT 14.608491	1	metabolite-metabolite	1
Sugar RT15.498817	unknown RT 14.608491	0.851420825939338	metabolite-metabolite	0.851420825939338
Sugar RT16.3187	unknown RT 14.608491	0.85430114401351	metabolite-metabolite	0.85430114401351
Sugar RT17.084061	unknown RT 14.608491	0.855710914310948	metabolite-metabolite	0.855710914310948
Sugar RT17.885434	unknown RT 14.608491	0.863880293828147	metabolite-metabolite	0.863880293828147
unknown RT 17.919809	unknown RT 14.608491	0.928459416711364	metabolite-metabolite	0.928459416711364
unknown RT 5.349937	Sugar RT14.65062	0.854564287775483	metabolite-metabolite	0.854564287775483
unknown RT 7.600111	Sugar RT14.65062	0.750664446669783	metabolite-metabolite	0.750664446669783
Sugar RT11.180625	Sugar RT14.65062	0.852147335290076	metabolite-metabolite	0.852147335290076
unknown RT 11.284935	Sugar RT14.65062	0.824171873297515	metabolite-metabolite	0.824171873297515
unknown RT 11.546791	Sugar RT14.65062	0.615754647297938	metabolite-metabolite	0.615754647297938
Sugar RT12.311732	Sugar RT14.65062	0.942532689768352	metabolite-metabolite	0.942532689768352
Sugar RT12.405521	Sugar RT14.65062	0.963934752651607	metabolite-metabolite	0.963934752651607
unknown RT 12.819965	Sugar RT14.65062	0.795605650038554	metabolite-metabolite	0.795605650038554
Creatinine, 3TMS Derivative RT12.941566	Sugar RT14.65062	0.819272393447745	metabolite-metabolite	0.819272393447745
Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	Sugar RT14.65062	0.64765915028332	metabolite-metabolite	0.64765915028332
unknown RT 14.104802	Sugar RT14.65062	0.944519150303972	metabolite-metabolite	0.944519150303972
Sugar RT14.65062	Sugar RT14.65062	1	metabolite-metabolite	1
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT14.65062	0.880855155265408	metabolite-metabolite	0.880855155265408
unknown RT 16.698449	Sugar RT14.65062	0.883592550953653	metabolite-metabolite	0.883592550953653
unknown RT 16.995233	Sugar RT14.65062	0.751323934634266	metabolite-metabolite	0.751323934634266
Sugar acid RT17.285215	Sugar RT14.65062	0.727691981991099	metabolite-metabolite	0.727691981991099
Pseudo uridine penta-tms RT19.994184	Sugar RT14.65062	0.880935120704904	metabolite-metabolite	0.880935120704904
Xylonic Acid Total	Sugar RT14.65062	0.888006114337577	metabolite-metabolite	0.888006114337577
unknown RT 5.349937	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.76395068860222	metabolite-metabolite	0.76395068860222
Sugar RT11.180625	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.794408924663708	metabolite-metabolite	0.794408924663708
unknown RT 11.284935	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.727616685001569	metabolite-metabolite	0.727616685001569
unknown RT 11.546791	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.570349225919284	metabolite-metabolite	0.570349225919284
Sugar RT12.311732	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.871650564807509	metabolite-metabolite	0.871650564807509
Sugar RT12.405521	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.886931751462827	metabolite-metabolite	0.886931751462827
