GeneID1	GeneID2	PCC_moderate	feature_type	PCC_moderate_abs
unknown RT 16.698449	unknown RT 7.600111	0.788950058136	metabolite-metabolite	0.788950058136
2-Hydroxybutyric acid, 2TMS derivative RT7.639387	2-Hydroxybutyric acid, 2TMS derivative RT7.639387	1	metabolite-metabolite	1
unknown RT 7.826556	unknown RT 7.826556	1	metabolite-metabolite	1
Methylphenol RT8.024749	Methylphenol RT8.024749	1	metabolite-metabolite	1
L-Leucine RT8.057321	L-Leucine RT8.057321	1	metabolite-metabolite	1
L-Valine, 2TMS derivative RT8.840117	L-Leucine RT8.057321	0.894446543431983	metabolite-metabolite	0.894446543431983
unknown RT 11.638228	L-Leucine RT8.057321	0.736584128085	metabolite-metabolite	0.736584128085
3-Hydroxybutyric acid, 2TMS derivative RT8.103591	3-Hydroxybutyric acid, 2TMS derivative RT8.103591	1	metabolite-metabolite	1
C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS	C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS	1	metabolite-metabolite	1
3-hydroxyisovaleric acid 2TMS RT8.767878	3-hydroxyisovaleric acid 2TMS RT8.767878	1	metabolite-metabolite	1
2-Ketoisocaproic acid mo-tms RT8.802217	2-Ketoisocaproic acid mo-tms RT8.802217	1	metabolite-metabolite	1
L-Leucine RT8.057321	L-Valine, 2TMS derivative RT8.840117	0.894446543431983	metabolite-metabolite	0.894446543431983
L-Valine, 2TMS derivative RT8.840117	L-Valine, 2TMS derivative RT8.840117	1	metabolite-metabolite	1
L-Isoleucine, 2TMS derivative RT9.853387	L-Valine, 2TMS derivative RT8.840117	0.892158527482701	metabolite-metabolite	0.892158527482701
unknown RT 9.376246	unknown RT 9.376246	1	metabolite-metabolite	1
L-Serine, 2TMS derivative RT9.393601	L-Serine, 2TMS derivative RT9.393601	1	metabolite-metabolite	1
unknown RT 9.514184	unknown RT 9.514184	1	metabolite-metabolite	1
Phosphoric acid RT9.570223	Phosphoric acid RT9.570223	1	metabolite-metabolite	1
Glycerol, 3TMS derivative RT9.590666	Glycerol, 3TMS derivative RT9.590666	1	metabolite-metabolite	1
L-Valine, 2TMS derivative RT8.840117	L-Isoleucine, 2TMS derivative RT9.853387	0.892158527482701	metabolite-metabolite	0.892158527482701
L-Isoleucine, 2TMS derivative RT9.853387	L-Isoleucine, 2TMS derivative RT9.853387	1	metabolite-metabolite	1
L-Proline, 2TMS derivative RT9.926992	L-Proline, 2TMS derivative RT9.926992	1	metabolite-metabolite	1
Glycine, 3TMS derivative RT10.031162	Glycine, 3TMS derivative RT10.031162	1	metabolite-metabolite	1
2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827	2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827	1	metabolite-metabolite	1
unknown RT 10.88902	unknown RT 10.88902	1	metabolite-metabolite	1
L-Threonine, 3TMS derivative RT10.986218	L-Threonine, 3TMS derivative RT10.986218	1	metabolite-metabolite	1
unknown RT 15.972121	L-Threonine, 3TMS derivative RT10.986218	0.784582468523447	metabolite-metabolite	0.784582468523447
Sugar RT11.180625	Sugar RT11.180625	1	metabolite-metabolite	1
Sugar RT12.311732	Sugar RT11.180625	0.744861536572629	metabolite-metabolite	0.744861536572629
Sugar RT12.405521	Sugar RT11.180625	0.768848336234068	metabolite-metabolite	0.768848336234068
Creatinine, 3TMS Derivative RT12.941566	Sugar RT11.180625	0.906987473055027	metabolite-metabolite	0.906987473055027
Sugar RT14.65062	Sugar RT11.180625	0.730194403843077	metabolite-metabolite	0.730194403843077
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT11.180625	0.683452387422065	metabolite-metabolite	0.683452387422065
unknown RT 16.995233	Sugar RT11.180625	0.772864953889438	metabolite-metabolite	0.772864953889438
Pseudo uridine penta-tms RT19.994184	Sugar RT11.180625	0.703707169477782	metabolite-metabolite	0.703707169477782
unknown RT 5.349937	unknown RT 11.284935	0.75408079167928	metabolite-metabolite	0.75408079167928
unknown RT 11.284935	unknown RT 11.284935	1	metabolite-metabolite	1
unknown RT 11.546791	unknown RT 11.284935	0.869060151718806	metabolite-metabolite	0.869060151718806
Sugar RT12.311732	unknown RT 11.284935	0.893845960101642	metabolite-metabolite	0.893845960101642
Sugar RT12.405521	unknown RT 11.284935	0.891134981179588	metabolite-metabolite	0.891134981179588
unknown RT 14.104802	unknown RT 11.284935	0.891929357432449	metabolite-metabolite	0.891929357432449
Sugar RT14.65062	unknown RT 11.284935	0.76276500285126	metabolite-metabolite	0.76276500285126
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 11.284935	0.82182265570212	metabolite-metabolite	0.82182265570212
unknown RT 16.698449	unknown RT 11.284935	0.873887064628048	metabolite-metabolite	0.873887064628048
unknown RT 16.995233	unknown RT 11.284935	0.75381818729779	metabolite-metabolite	0.75381818729779
Pseudo uridine penta-tms RT19.994184	unknown RT 11.284935	0.630289918641471	metabolite-metabolite	0.630289918641471
Xylonic Acid Total	unknown RT 11.284935	0.911386615747107	metabolite-metabolite	0.911386615747107
unknown RT 5.349937	unknown RT 11.546791	0.824273769304707	metabolite-metabolite	0.824273769304707
unknown RT 11.284935	unknown RT 11.546791	0.869060151718806	metabolite-metabolite	0.869060151718806
unknown RT 11.546791	unknown RT 11.546791	1	metabolite-metabolite	1
Sugar RT12.311732	unknown RT 11.546791	0.919125595303305	metabolite-metabolite	0.919125595303305
Sugar RT12.405521	unknown RT 11.546791	0.888316778527864	metabolite-metabolite	0.888316778527864
unknown RT 14.104802	unknown RT 11.546791	0.840894626944612	metabolite-metabolite	0.840894626944612
Sugar RT14.65062	unknown RT 11.546791	0.87851260723341	metabolite-metabolite	0.87851260723341
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 11.546791	0.853322517926105	metabolite-metabolite	0.853322517926105
L-Leucine RT8.057321	unknown RT 11.638228	0.736584128085	metabolite-metabolite	0.736584128085
unknown RT 11.638228	unknown RT 11.638228	1	metabolite-metabolite	1
unknown RT 11.786329	unknown RT 11.786329	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	Aspartic acid, 3TMS derivative RT11.991212	1	metabolite-metabolite	1
unknown RT 12.281912	Aspartic acid, 3TMS derivative RT11.991212	0.841738225902718	metabolite-metabolite	0.841738225902718
unknown RT 12.857088	Aspartic acid, 3TMS derivative RT11.991212	0.863900561957203	metabolite-metabolite	0.863900561957203
unknown RT 13.237562	Aspartic acid, 3TMS derivative RT11.991212	0.944261422314305	metabolite-metabolite	0.944261422314305
unknown RT 13.449509	Aspartic acid, 3TMS derivative RT11.991212	0.874846968538766	metabolite-metabolite	0.874846968538766
unknown RT 14.212299	Aspartic acid, 3TMS derivative RT11.991212	0.922568575882499	metabolite-metabolite	0.922568575882499
unknown RT 14.608491	Aspartic acid, 3TMS derivative RT11.991212	0.884974364236052	metabolite-metabolite	0.884974364236052
unknown RT 17.919809	Aspartic acid, 3TMS derivative RT11.991212	0.877904999827851	metabolite-metabolite	0.877904999827851
unknown RT 12.201671	unknown RT 12.201671	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 12.281912	0.841738225902718	metabolite-metabolite	0.841738225902718
unknown RT 12.281912	unknown RT 12.281912	1	metabolite-metabolite	1
unknown RT 12.857088	unknown RT 12.281912	0.982214333574597	metabolite-metabolite	0.982214333574597
unknown RT 13.237562	unknown RT 12.281912	0.838201250781623	metabolite-metabolite	0.838201250781623
unknown RT 13.449509	unknown RT 12.281912	0.966172535702523	metabolite-metabolite	0.966172535702523
unknown RT 14.212299	unknown RT 12.281912	0.959096368573375	metabolite-metabolite	0.959096368573375
unknown RT 14.608491	unknown RT 12.281912	0.931963413097719	metabolite-metabolite	0.931963413097719
Sugar RT15.498817	unknown RT 12.281912	0.927125110856966	metabolite-metabolite	0.927125110856966
Sugar RT16.3187	unknown RT 12.281912	0.948325421171232	metabolite-metabolite	0.948325421171232
Sugar RT17.084061	unknown RT 12.281912	0.950903734032081	metabolite-metabolite	0.950903734032081
Sugar RT17.885434	unknown RT 12.281912	0.88138230739248	metabolite-metabolite	0.88138230739248
unknown RT 17.919809	unknown RT 12.281912	0.903925056672927	metabolite-metabolite	0.903925056672927
unknown RT 5.349937	Sugar RT12.311732	0.858086606298352	metabolite-metabolite	0.858086606298352
Sugar RT11.180625	Sugar RT12.311732	0.744861536572629	metabolite-metabolite	0.744861536572629
unknown RT 11.284935	Sugar RT12.311732	0.893845960101642	metabolite-metabolite	0.893845960101642
unknown RT 11.546791	Sugar RT12.311732	0.919125595303305	metabolite-metabolite	0.919125595303305
Sugar RT12.311732	Sugar RT12.311732	1	metabolite-metabolite	1
Sugar RT12.405521	Sugar RT12.311732	0.951294013285678	metabolite-metabolite	0.951294013285678
unknown RT 12.819965	Sugar RT12.311732	0.860541676392015	metabolite-metabolite	0.860541676392015
Creatinine, 3TMS Derivative RT12.941566	Sugar RT12.311732	0.782554103404156	metabolite-metabolite	0.782554103404156
unknown RT 14.104802	Sugar RT12.311732	0.933406670709775	metabolite-metabolite	0.933406670709775
Sugar RT14.65062	Sugar RT12.311732	0.89347214636897	metabolite-metabolite	0.89347214636897
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT12.311732	0.877869996573742	metabolite-metabolite	0.877869996573742
unknown RT 16.698449	Sugar RT12.311732	0.832579514580581	metabolite-metabolite	0.832579514580581
unknown RT 16.995233	Sugar RT12.311732	0.863056940489927	metabolite-metabolite	0.863056940489927
Sugar acid RT17.285215	Sugar RT12.311732	0.812707910738755	metabolite-metabolite	0.812707910738755
Pseudo uridine penta-tms RT19.994184	Sugar RT12.311732	0.768135061738627	metabolite-metabolite	0.768135061738627
Xylonic Acid Total	Sugar RT12.311732	0.909889147622108	metabolite-metabolite	0.909889147622108
unknown RT 5.349937	Sugar RT12.405521	0.822073325643569	metabolite-metabolite	0.822073325643569
Sugar RT11.180625	Sugar RT12.405521	0.768848336234068	metabolite-metabolite	0.768848336234068
unknown RT 11.284935	Sugar RT12.405521	0.891134981179588	metabolite-metabolite	0.891134981179588
unknown RT 11.546791	Sugar RT12.405521	0.888316778527864	metabolite-metabolite	0.888316778527864
Sugar RT12.311732	Sugar RT12.405521	0.951294013285678	metabolite-metabolite	0.951294013285678
Sugar RT12.405521	Sugar RT12.405521	1	metabolite-metabolite	1
unknown RT 12.819965	Sugar RT12.405521	0.830133875121907	metabolite-metabolite	0.830133875121907
Creatinine, 3TMS Derivative RT12.941566	Sugar RT12.405521	0.790655624524968	metabolite-metabolite	0.790655624524968
unknown RT 14.104802	Sugar RT12.405521	0.91418074807536	metabolite-metabolite	0.91418074807536
Sugar RT14.65062	Sugar RT12.405521	0.88168348300295	metabolite-metabolite	0.88168348300295
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT12.405521	0.858877974159942	metabolite-metabolite	0.858877974159942
unknown RT 16.698449	Sugar RT12.405521	0.827435028733256	metabolite-metabolite	0.827435028733256
unknown RT 16.995233	Sugar RT12.405521	0.902366919760359	metabolite-metabolite	0.902366919760359
Sugar acid RT17.285215	Sugar RT12.405521	0.88093516176471	metabolite-metabolite	0.88093516176471
Pseudo uridine penta-tms RT19.994184	Sugar RT12.405521	0.737844719651609	metabolite-metabolite	0.737844719651609
Xylonic Acid Total	Sugar RT12.405521	0.888622479712877	metabolite-metabolite	0.888622479712877
Mevalonic acid	Sugar RT12.405521	0.82913378729447	metabolite-metabolite	0.82913378729447
Salicylic acid	Salicylic acid	1	metabolite-metabolite	1
L-Methionine, 2TMS derivative RT12.546672	L-Methionine, 2TMS derivative RT12.546672	1	metabolite-metabolite	1
L-Lysine, N2,N6,N6-tris(trimethylsilyl)-, trimethylsilyl ester RT16.60669	L-Methionine, 2TMS derivative RT12.546672	0.842658375954688	metabolite-metabolite	0.842658375954688
Tyrosine, 3TMS derivative RT16.755616	L-Methionine, 2TMS derivative RT12.546672	0.817024283097452	metabolite-metabolite	0.817024283097452
L-Pyroglutamic acid RT12.572016	L-Pyroglutamic acid RT12.572016	1	metabolite-metabolite	1
Iminodiacetic acid RT12.666785	Iminodiacetic acid RT12.666785	1	metabolite-metabolite	1
unknown RT 18.560954	Iminodiacetic acid RT12.666785	0.835082686054733	metabolite-metabolite	0.835082686054733
Sugar RT12.311732	unknown RT 12.819965	0.860541676392015	metabolite-metabolite	0.860541676392015
Sugar RT12.405521	unknown RT 12.819965	0.830133875121907	metabolite-metabolite	0.830133875121907
unknown RT 12.819965	unknown RT 12.819965	1	metabolite-metabolite	1
Creatinine, 3TMS Derivative RT12.941566	unknown RT 12.819965	0.656169164756364	metabolite-metabolite	0.656169164756364
unknown RT 14.104802	unknown RT 12.819965	0.869673394552405	metabolite-metabolite	0.869673394552405
Sugar RT14.65062	unknown RT 12.819965	0.719681304474674	metabolite-metabolite	0.719681304474674
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 12.819965	0.774893989339606	metabolite-metabolite	0.774893989339606
unknown RT 16.698449	unknown RT 12.819965	0.702215959905593	metabolite-metabolite	0.702215959905593
unknown RT 16.995233	unknown RT 12.819965	0.668392882518699	metabolite-metabolite	0.668392882518699
Xylonic Acid Total	unknown RT 12.819965	0.819777938114679	metabolite-metabolite	0.819777938114679
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 12.857088	0.863900561957203	metabolite-metabolite	0.863900561957203
unknown RT 12.281912	unknown RT 12.857088	0.982214333574597	metabolite-metabolite	0.982214333574597
unknown RT 12.857088	unknown RT 12.857088	1	metabolite-metabolite	1
unknown RT 13.237562	unknown RT 12.857088	0.869938829916923	metabolite-metabolite	0.869938829916923
unknown RT 13.449509	unknown RT 12.857088	0.994667973343814	metabolite-metabolite	0.994667973343814
unknown RT 14.212299	unknown RT 12.857088	0.970271426863425	metabolite-metabolite	0.970271426863425
unknown RT 14.608491	unknown RT 12.857088	0.949950650894899	metabolite-metabolite	0.949950650894899
Sugar RT15.498817	unknown RT 12.857088	0.922379070839905	metabolite-metabolite	0.922379070839905
Sugar RT16.3187	unknown RT 12.857088	0.938841097816772	metabolite-metabolite	0.938841097816772
Sugar RT17.084061	unknown RT 12.857088	0.940617261511852	metabolite-metabolite	0.940617261511852
Sugar RT17.885434	unknown RT 12.857088	0.890871104006332	metabolite-metabolite	0.890871104006332
unknown RT 17.919809	unknown RT 12.857088	0.910616572429042	metabolite-metabolite	0.910616572429042
unknown RT 5.349937	Creatinine, 3TMS Derivative RT12.941566	0.764739212653706	metabolite-metabolite	0.764739212653706
Sugar RT11.180625	Creatinine, 3TMS Derivative RT12.941566	0.906987473055027	metabolite-metabolite	0.906987473055027
Sugar RT12.311732	Creatinine, 3TMS Derivative RT12.941566	0.782554103404156	metabolite-metabolite	0.782554103404156
Sugar RT12.405521	Creatinine, 3TMS Derivative RT12.941566	0.790655624524968	metabolite-metabolite	0.790655624524968
unknown RT 12.819965	Creatinine, 3TMS Derivative RT12.941566	0.656169164756364	metabolite-metabolite	0.656169164756364
Creatinine, 3TMS Derivative RT12.941566	Creatinine, 3TMS Derivative RT12.941566	1	metabolite-metabolite	1
Sugar RT14.65062	Creatinine, 3TMS Derivative RT12.941566	0.757282239846534	metabolite-metabolite	0.757282239846534
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Creatinine, 3TMS Derivative RT12.941566	0.755071171328585	metabolite-metabolite	0.755071171328585
unknown RT 16.698449	Creatinine, 3TMS Derivative RT12.941566	0.752609421606103	metabolite-metabolite	0.752609421606103
unknown RT 16.995233	Creatinine, 3TMS Derivative RT12.941566	0.757945446730576	metabolite-metabolite	0.757945446730576
Inositol RT18.082993	Creatinine, 3TMS Derivative RT12.941566	0.761148550905581	metabolite-metabolite	0.761148550905581
Pseudo uridine penta-tms RT19.994184	Creatinine, 3TMS Derivative RT12.941566	0.782899289939221	metabolite-metabolite	0.782899289939221
L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171	L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 13.237562	0.944261422314305	metabolite-metabolite	0.944261422314305
unknown RT 12.281912	unknown RT 13.237562	0.838201250781623	metabolite-metabolite	0.838201250781623
unknown RT 12.857088	unknown RT 13.237562	0.869938829916923	metabolite-metabolite	0.869938829916923
unknown RT 13.237562	unknown RT 13.237562	1	metabolite-metabolite	1
unknown RT 13.449509	unknown RT 13.237562	0.882313938970917	metabolite-metabolite	0.882313938970917
unknown RT 14.212299	unknown RT 13.237562	0.925491788006424	metabolite-metabolite	0.925491788006424
unknown RT 14.608491	unknown RT 13.237562	0.907203187343764	metabolite-metabolite	0.907203187343764
unknown RT 17.919809	unknown RT 13.237562	0.893901661204645	metabolite-metabolite	0.893901661204645
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 13.449509	0.874846968538766	metabolite-metabolite	0.874846968538766
unknown RT 12.281912	unknown RT 13.449509	0.966172535702523	metabolite-metabolite	0.966172535702523
unknown RT 12.857088	unknown RT 13.449509	0.994667973343814	metabolite-metabolite	0.994667973343814
unknown RT 13.237562	unknown RT 13.449509	0.882313938970917	metabolite-metabolite	0.882313938970917
unknown RT 13.449509	unknown RT 13.449509	1	metabolite-metabolite	1
unknown RT 14.212299	unknown RT 13.449509	0.963625190268917	metabolite-metabolite	0.963625190268917
unknown RT 14.608491	unknown RT 13.449509	0.950108016020414	metabolite-metabolite	0.950108016020414
Sugar RT15.498817	unknown RT 13.449509	0.914652757480488	metabolite-metabolite	0.914652757480488
Sugar RT16.3187	unknown RT 13.449509	0.923597267550841	metabolite-metabolite	0.923597267550841
Sugar RT17.084061	unknown RT 13.449509	0.925986531694399	metabolite-metabolite	0.925986531694399
Sugar RT17.885434	unknown RT 13.449509	0.893838965459578	metabolite-metabolite	0.893838965459578
unknown RT 17.919809	unknown RT 13.449509	0.918010751598524	metabolite-metabolite	0.918010751598524
L-Glutamic acid, 3TMS derivative RT13.628483	L-Glutamic acid, 3TMS derivative RT13.628483	1	metabolite-metabolite	1
Phenylalanine, 2TMS derivative RT13.727813	Phenylalanine, 2TMS derivative RT13.727813	1	metabolite-metabolite	1
Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	1	metabolite-metabolite	1
Sugar RT14.65062	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	0.881465314110669	metabolite-metabolite	0.881465314110669
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	0.757253284746976	metabolite-metabolite	0.757253284746976
unknown RT 5.349937	unknown RT 14.104802	0.692079226639497	metabolite-metabolite	0.692079226639497
unknown RT 11.284935	unknown RT 14.104802	0.891929357432449	metabolite-metabolite	0.891929357432449
unknown RT 11.546791	unknown RT 14.104802	0.840894626944612	metabolite-metabolite	0.840894626944612
Sugar RT12.311732	unknown RT 14.104802	0.933406670709775	metabolite-metabolite	0.933406670709775
Sugar RT12.405521	unknown RT 14.104802	0.91418074807536	metabolite-metabolite	0.91418074807536
unknown RT 12.819965	unknown RT 14.104802	0.869673394552405	metabolite-metabolite	0.869673394552405
unknown RT 14.104802	unknown RT 14.104802	1	metabolite-metabolite	1
Sugar RT14.65062	unknown RT 14.104802	0.775534862592049	metabolite-metabolite	0.775534862592049
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 14.104802	0.886943085600199	metabolite-metabolite	0.886943085600199
unknown RT 16.698449	unknown RT 14.104802	0.800885384901383	metabolite-metabolite	0.800885384901383
unknown RT 16.995233	unknown RT 14.104802	0.817875134003223	metabolite-metabolite	0.817875134003223
Pseudo uridine penta-tms RT19.994184	unknown RT 14.104802	0.577980594711665	metabolite-metabolite	0.577980594711665
Xylonic Acid Total	unknown RT 14.104802	0.924485092880624	metabolite-metabolite	0.924485092880624
unknown RT 14.193323	unknown RT 14.193323	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 14.212299	0.922568575882499	metabolite-metabolite	0.922568575882499
unknown RT 12.281912	unknown RT 14.212299	0.959096368573375	metabolite-metabolite	0.959096368573375
unknown RT 12.857088	unknown RT 14.212299	0.970271426863425	metabolite-metabolite	0.970271426863425
unknown RT 13.237562	unknown RT 14.212299	0.925491788006424	metabolite-metabolite	0.925491788006424
unknown RT 13.449509	unknown RT 14.212299	0.963625190268917	metabolite-metabolite	0.963625190268917
unknown RT 14.212299	unknown RT 14.212299	1	metabolite-metabolite	1
unknown RT 14.608491	unknown RT 14.212299	0.965908836665026	metabolite-metabolite	0.965908836665026
Sugar RT15.498817	unknown RT 14.212299	0.843959408669916	metabolite-metabolite	0.843959408669916
Sugar RT16.3187	unknown RT 14.212299	0.873667781996077	metabolite-metabolite	0.873667781996077
Sugar RT17.084061	unknown RT 14.212299	0.875603377048696	metabolite-metabolite	0.875603377048696
Sugar RT17.885434	unknown RT 14.212299	0.847647548729708	metabolite-metabolite	0.847647548729708
unknown RT 17.919809	unknown RT 14.212299	0.920666358407179	metabolite-metabolite	0.920666358407179
unknown RT 14.46665	unknown RT 14.46665	1	metabolite-metabolite	1
Sugar RT14.499155	Sugar RT14.499155	1	metabolite-metabolite	1
Indol-5-ol, 2TMS derivative RT14.572634	Indol-5-ol, 2TMS derivative RT14.572634	1	metabolite-metabolite	1
Aspartic acid, 3TMS derivative RT11.991212	unknown RT 14.608491	0.884974364236052	metabolite-metabolite	0.884974364236052
unknown RT 12.281912	unknown RT 14.608491	0.931963413097719	metabolite-metabolite	0.931963413097719
unknown RT 12.857088	unknown RT 14.608491	0.949950650894899	metabolite-metabolite	0.949950650894899
unknown RT 13.237562	unknown RT 14.608491	0.907203187343764	metabolite-metabolite	0.907203187343764
unknown RT 13.449509	unknown RT 14.608491	0.950108016020414	metabolite-metabolite	0.950108016020414
unknown RT 14.212299	unknown RT 14.608491	0.965908836665026	metabolite-metabolite	0.965908836665026
unknown RT 14.608491	unknown RT 14.608491	1	metabolite-metabolite	1
Sugar RT15.498817	unknown RT 14.608491	0.793075321063771	metabolite-metabolite	0.793075321063771
Sugar RT16.3187	unknown RT 14.608491	0.815903987997549	metabolite-metabolite	0.815903987997549
Sugar RT17.084061	unknown RT 14.608491	0.8192651287474	metabolite-metabolite	0.8192651287474
Sugar RT17.885434	unknown RT 14.608491	0.855223662986087	metabolite-metabolite	0.855223662986087
unknown RT 17.919809	unknown RT 14.608491	0.940150431890044	metabolite-metabolite	0.940150431890044
unknown RT 5.349937	Sugar RT14.65062	0.900130417232452	metabolite-metabolite	0.900130417232452
unknown RT 7.600111	Sugar RT14.65062	0.860782641446103	metabolite-metabolite	0.860782641446103
Sugar RT11.180625	Sugar RT14.65062	0.730194403843077	metabolite-metabolite	0.730194403843077
unknown RT 11.284935	Sugar RT14.65062	0.76276500285126	metabolite-metabolite	0.76276500285126
unknown RT 11.546791	Sugar RT14.65062	0.87851260723341	metabolite-metabolite	0.87851260723341
Sugar RT12.311732	Sugar RT14.65062	0.89347214636897	metabolite-metabolite	0.89347214636897
Sugar RT12.405521	Sugar RT14.65062	0.88168348300295	metabolite-metabolite	0.88168348300295
unknown RT 12.819965	Sugar RT14.65062	0.719681304474674	metabolite-metabolite	0.719681304474674
Creatinine, 3TMS Derivative RT12.941566	Sugar RT14.65062	0.757282239846534	metabolite-metabolite	0.757282239846534
Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543	Sugar RT14.65062	0.881465314110669	metabolite-metabolite	0.881465314110669
unknown RT 14.104802	Sugar RT14.65062	0.775534862592049	metabolite-metabolite	0.775534862592049
Sugar RT14.65062	Sugar RT14.65062	1	metabolite-metabolite	1
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	Sugar RT14.65062	0.867567568569916	metabolite-metabolite	0.867567568569916
unknown RT 16.698449	Sugar RT14.65062	0.743443476077968	metabolite-metabolite	0.743443476077968
unknown RT 16.995233	Sugar RT14.65062	0.906591458187256	metabolite-metabolite	0.906591458187256
Sugar acid RT17.285215	Sugar RT14.65062	0.807301975676452	metabolite-metabolite	0.807301975676452
Pseudo uridine penta-tms RT19.994184	Sugar RT14.65062	0.892328720714243	metabolite-metabolite	0.892328720714243
Xylonic Acid Total	Sugar RT14.65062	0.832594548362579	metabolite-metabolite	0.832594548362579
unknown RT 5.349937	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.78893589405429	metabolite-metabolite	0.78893589405429
Sugar RT11.180625	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.683452387422065	metabolite-metabolite	0.683452387422065
unknown RT 11.284935	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.82182265570212	metabolite-metabolite	0.82182265570212
unknown RT 11.546791	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.853322517926105	metabolite-metabolite	0.853322517926105
Sugar RT12.311732	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.877869996573742	metabolite-metabolite	0.877869996573742
Sugar RT12.405521	Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	0.858877974159942	metabolite-metabolite	0.858877974159942
